"Ward No","Ward Name","BBMP Zone Name","BBMP Division","BBMP Sub Division","Assembly constituency","MP Constituency"
"147","Adugodi","South","BTM Layout","Koramangala","B.T.M. Layout","Bangalore South"
"148","Ejipura","South","BTM Layout","Koramangala","B.T.M. Layout","Bangalore South"
"149","Varthur","Mahadevapura","Mahadevapura","White Field","Mahadevapura","Bangalore Central"
"150","Bellanduru","Mahadevapura","Mahadevapura","Maarathahalli","Mahadevapura","Bangalore Central"
"151","Koramangala","South","BTM Layout","Koramangala","B.T.M. Layout","Bangalore South"
"152","Suddagunte Palya","South","BTM Layout","BTM Layout","B.T.M. Layout","Bangalore South"
"153","Jayanagar","South","Chikpete","Hombegowda Nagar","Chickpet","Bangalore South"
"154","Basavanagudi","South","Basavanagudi","Basavanagudi","Basavanagudi","Bangalore South"
"155","Hanumanth Nagar","South","Basavanagudi","Basavanagudi","Basavanagudi","Bangalore South"
"156","Sri Nagar","South","Basavanagudi","Girinagar","Basavanagudi","Bangalore South"
"157","Gali Anjenaya Temple Ward","South","Vijay Nagar","Gaali Anjaneya Temple","ViJayanagar","Bangalore South"
"158","Deepanjali Nagar","South","Vijay Nagar","Gaali Anjaneya Temple","ViJayanagar","Bangalore South"
"159","Kengeri","Rajarajeswari Nagar","Kengeri","Kengeri","Yeshwantpura","Bangalore North"
"160","Raja Rajeshawari Nagar","Rajarajeswari Nagar","Rajarajeshwari Nagar","Rajarajeshwari Nagar","Rajarajeswari Nagar","Bangalore North"
"161","Hosakerehalli","South","Padmanabh Nagar","Padmanabh Nagar","Padmanaba Nagar","Bangalore South"
"162","Giri Nagar","South","Basavanagudi","Girinagar","Basavanagudi","Bangalore South"
"163","Katriguppe","South","Basavanagudi","Girinagar","Basavanagudi","Bangalore South"
"164","Vidya Peeta Ward","South","Basavanagudi","Basavanagudi","Basavanagudi","Bangalore South"
"165","Ganesh Mandir Ward","South","Padmanabh Nagar","Padmanabh Nagar","Padmanaba Nagar","Bangalore South"
"166","Kari Sandra","South","Padmanabh Nagar","Banashankari","Padmanaba Nagar","Bangalore South"
"167","Yediyur","South","Padmanabh Nagar","Banashankari","Padmanaba Nagar","Bangalore South"
"168","Pattabhi Ram Nagar","South","Jayanagar","Jayanagar","Jayanagar","Bangalore South"
"169","Byra Sandra","South","Jayanagar","Jayanagar","Jayanagar","Bangalore South"
"170","Jayanagar East","South","Jayanagar","Jayanagar","Jayanagar","Bangalore South"
"171","Gurappana Palya","South","Jayanagar","Jayanagar","Jayanagar","Bangalore South"
"172","Madivala","South","BTM Layout","BTM Layout","B.T.M. Layout","Bangalore South"
"173","Jakka Sandra","South","BTM Layout","Koramangala","B.T.M. Layout","Bangalore South"
"174","HSR Layout","Bommanahalli","Bommanahalli","Bommanahalli","Bommanahalli","Bangalore South"
"175","Bommanahalli","Bommanahalli","Bommanahalli","Bommanahalli","Bommanahalli","Bangalore South"
"176","BTM Layout","South","BTM Layout","BTM Layout","B.T.M. Layout","Bangalore South"
"177","JP Nagar","South","Jayanagar","J.P Nagar","Jayanagar","Bangalore South"
"178","Sarakki","South","Jayanagar","J.P Nagar","Jayanagar","Bangalore South"
"179","Shakambari Narar","South","Jayanagar","J.P Nagar","Jayanagar","Bangalore South"
"180","Banashankari Temple Ward","South","Padmanabh Nagar","Banashankari","Padmanaba Nagar","Bangalore South"
"181","Kumara Swamy Layout","South","Padmanabh Nagar","Banashankari","Padmanaba Nagar","Bangalore South"
"182","Padmanabha Nagar","South","Padmanabh Nagar","Padmanabh Nagar","Padmanaba Nagar","Bangalore South"
"183","Chikkala Sandra","South","Padmanabh Nagar","Padmanabh Nagar","Padmanaba Nagar","Bangalore South"
"184","Uttarahalli","Bommanahalli","Bengaluru South","Uttarahalli","Bangalore South","Bangalore South"
"185","Yelchenahalli","Bommanahalli","Bengaluru South","Uttarahalli","Bangalore South","Bangalore South"
"186","Jaraganahalli","Bommanahalli","Bommanahalli","Arakere","Bommanahalli","Bangalore South"
"187","Puttenahalli","Bommanahalli","Bommanahalli","Arakere","Bommanahalli","Bangalore South"
"188","Bilekhalli","Bommanahalli","Bommanahalli","Arakere","Bommanahalli","Bangalore South"
"189","Honga Sandra","Bommanahalli","Bommanahalli","Bommanahalli","Bommanahalli","Bangalore South"
"190","Mangammana Palya","Bommanahalli","Bommanahalli","Bommanahalli","Bommanahalli","Bangalore South"
"191","Singa Sandra","Bommanahalli","Bengaluru South","Begur","Bommanahalli","Bangalore South"
"192","Begur","Bommanahalli","Bengaluru South","Begur","Bangalore South","Bangalore South"
"193","Arakere","Bommanahalli","Bommanahalli","Arakere","Bommanahalli","Bangalore South"
"194","Gottigere","Bommanahalli","Bengaluru South","Kottanooru","Bangalore South","Bangalore South"
"195","Konankunte","Bommanahalli","Bengaluru South","Kottanooru","Bangalore South","Bangalore South"
"196","Anjanapura","Bommanahalli","Bengaluru South","Kottanooru","Bangalore South","Bangalore South"
"197","Vasanthpura","Bommanahalli","Bengaluru South","Uttarahalli","Bangalore South","Bangalore South"
"198","Hemmigepura","Rajarajeswari Nagar","Kengeri","Kengeri","Yeshwantpura","Bangalore North"
